region,area,palmitic,stearic,oleic,linoleic,linolenic,eicosenoic
1,3,1314,229,6923,1198,47,42
1,3,1409,207,6842,1224,31,27
1,3,1342,221,6993,1147,36,23
1,3,1387,206,7100,1020,34,17
1,3,1413,205,6920,1165,36,13
1,3,1430,225,6800,1200,32,27
1,3,1336,223,6956,1155,56,16
1,3,1372,200,6916,1189,33,22
1,3,1330,228,7055,1108,42,25
1,3,1412,208,6822,1239,36,28
1,3,1321,217,6948,1178,42,23
1,3,1401,217,6980,1073,40,21
1,3,1401,217,6734,1293,44,27
1,3,1457,242,6724,1266,54,30
1,3,1451,221,6835,1177,37,29
1,3,1438,248,6806,1183,34,28
1,3,1462,237,6644,1309,42,28
1,3,1529,203,6602,1310,45,27
1,3,1510,245,6752,1188,36,28
1,3,1437,184,6803,1240,43,16
1,3,1327,247,7024,1157,38,22
1,3,1438,252,6630,1380,40,24
1,3,1447,189,6849,1180,42,26
1,3,1355,214,6972,1198,33,24
1,3,1369,241,6890,1209,42,30
1,3,1471,276,6697,1269,34,16
1,3,1456,240,6738,1267,41,14
1,3,1314,207,7020,1220,28,12
1,3,1408,192,6909,1195,45,25
1,3,1397,191,7107,1018,36,29
1,3,1413,186,6937,1180,31,13
1,3,1539,213,6764,1178,38,16
1,3,1304,234,7019,1174,38,19
1,3,1341,231,7033,1069,40,33
1,3,1508,249,6641,1311,25,20
1,3,1515,257,6595,1287,41,16
1,3,1262,235,7120,1113,32,21
1,3,1307,238,7003,1144,37,24
1,3,1294,253,7009,1190,30,13
1,3,1460,215,6843,1172,35,32
1,3,1476,203,6837,1197,36,22
1,3,1482,197,6814,1201,40,24
1,3,1388,185,7008,1111,48,31
1,3,1367,235,7066,1054,35,26
1,3,1272,205,7152,1098,37,22
1,3,1323,234,7132,1022,38,31
1,3,1206,242,7193,1002,37,25
1,3,1383,217,7018,1090,40,37
1,3,1521,238,6956,986,36,23
1,3,1350,227,6986,1165,29,17
1,3,1422,218,6813,1230,30,21
1,3,1298,224,6986,1162,34,31
1,3,1447,245,6607,1336,33,21
1,3,1347,211,6795,1300,32,34
1,3,1339,253,6989,1110,29,23
1,3,1388,216,6867,1208,28,21
1,3,1527,232,6488,1370,31,20
1,3,1495,236,6571,1318,32,26
1,3,1487,251,6504,1390,29,19
1,3,1399,232,6855,1190,32,22
1,3,1489,242,6777,1145,30,22
1,3,1339,226,6928,1198,30,23
1,3,1482,238,6444,1462,27,20
1,3,1434,255,6646,1354,27,25
1,3,1347,214,6850,1313,25,19
1,3,1340,233,6848,1272,32,25
1,3,1453,244,6752,1238,34,23
1,3,1306,226,7082,1097,33,24
1,3,1349,217,6997,1138,31,23
1,3,1254,205,7319,947,28,23
1,3,1168,220,7230,1109,31,28
1,3,1346,224,6959,1111,30,23
1,3,1390,212,6898,1189,29,19
1,3,1283,224,7077,1104,30,32
1,3,1214,232,7269,1005,32,23
1,3,1491,205,6941,988,33,34
1,3,1479,207,7039,887,36,36
1,3,1445,228,6875,1123,29,31
1,3,1439,218,6775,1226,32,29
1,3,1387,204,6991,1090,34,32
1,3,1426,192,7025,1043,31,27
1,3,1451,208,6980,1006,30,31
1,3,1493,188,6913,1044,32,35
1,3,1419,207,6996,1014,36,36
1,3,1342,199,7172,952,34,33
1,3,1349,236,7145,949,35,29
1,3,1440,208,6938,1070,32,26
1,3,1460,197,6918,1081,28,23
1,3,1249,205,7417,827,33,33
1,3,1348,238,7017,1081,31,25
1,3,1341,244,6958,1144,32,26
1,3,1398,204,7182,907,29,30
1,3,1454,199,6910,1090,30,25
1,3,1334,219,6928,1214,33,24
1,3,1438,189,7107,910,33,27
1,3,1303,212,7170,1016,34,25
1,3,1323,210,7108,1070,33,20
1,3,1417,207,6875,1184,34,27
1,3,1360,225,6883,1220,31,27
1,3,1420,214,6923,1121,33,27
1,3,1472,214,6724,1238,29,23
1,3,1368,205,7042,1066,31,26
1,3,1367,228,6948,1141,32,24
1,3,1403,209,6843,1210,33,33
1,3,1413,206,6737,1387,34,31
1,3,1201,207,7011,1269,37,35
1,3,1359,207,6895,1203,33,30
1,3,1518,225,6681,1243,29,24
1,3,1434,189,6771,1269,30,25
1,3,1367,179,6772,1368,33,27
1,3,1461,197,6783,1246,26,23
1,3,1368,198,7030,1095,33,31
1,3,1419,215,6862,1193,35,31
1,3,1514,298,6725,1119,45,30
1,3,1328,253,6987,1030,38,39
1,3,1469,337,6675,1127,44,36
1,4,1222,227,7425,824,36,35
1,4,1639,331,6510,1124,46,32
1,4,1345,272,6801,1194,48,37
1,4,1339,275,6838,1060,46,43
1,4,1194,263,7277,889,44,41
1,4,1112,375,7770,448,52,45
1,4,1222,329,7605,566,48,43
1,4,1136,341,7616,661,49,32
1,4,926,277,7815,784,45,25
1,4,1105,373,7714,532,51,37
1,4,1109,305,7576,763,45,36
1,4,1284,265,7235,893,43,46
1,4,1120,277,7416,946,42,36
1,4,916,281,7870,694,42,58
1,4,905,288,7747,812,49,56
1,4,1206,287,7329,935,44,42
1,4,1457,267,7020,863,41,37
1,4,1327,193,7328,823,36,35
1,4,1303,251,7045,1049,40,40
1,4,1444,259,6876,1027,34,32
1,4,1505,226,6962,858,30,27
1,4,1429,223,6917,1041,37,40
1,4,1491,211,6994,928,37,38
1,4,1393,211,7189,870,38,40
1,4,1404,210,7110,923,40,43
1,4,1222,214,7374,856,38,45
1,4,1153,316,7593,705,42,32
1,4,1169,307,7553,728,43,32
1,4,1369,237,7375,775,39,15
1,4,993,267,7743,773,41,44
1,4,980,254,7719,815,44,47
1,4,967,273,7692,833,45,47
1,4,1128,354,7527,728,44,38
1,4,1188,273,7445,814,44,42
1,4,1257,247,7405,812,43,35
1,4,1262,301,7471,704,43,31
1,3,1283,196,7107,1115,37,28
1,3,1263,199,7140,1148,31,18
1,3,1369,215,7160,958,38,32
1,3,1353,175,6965,1212,28,19
1,3,1187,185,7427,952,29,22
1,3,1732,156,6437,1313,45,23
1,3,1620,166,6628,1212,29,27
1,3,1543,193,6740,1157,52,34
1,3,1498,195,6804,1206,35,23
1,3,1399,171,7011,1100,36,16
1,3,1293,191,7101,1111,32,31
1,3,1420,152,7004,1149,27,20
1,3,1721,255,6300,1350,35,28
1,3,1742,156,6415,1315,43,23
1,3,1391,189,6975,1062,52,45
1,3,1517,249,6680,1205,33,27
1,3,1269,193,7140,1148,31,18
1,3,1577,208,6732,1183,20,20
1,3,1590,195,6705,1149,27,21
1,3,1621,197,6608,1179,28,27
1,3,1753,236,6367,1214,23,27
1,3,1679,177,6568,1191,30,33
1,3,1419,176,6973,1083,38,27
1,3,1693,174,6499,1204,51,37
1,3,1692,234,6499,1196,31,15
1,3,1638,215,6570,1199,39,29
1,3,1497,219,6621,1270,36,32
1,3,1442,194,6677,1314,36,38
1,3,1680,170,6440,1310,31,28
1,3,1463,185,6909,1154,49,17
2,5,1129,222,7272,1112,43,2
2,5,1042,210,7376,1116,35,3
2,5,1103,210,7380,1085,32,3
2,5,1118,221,7279,1154,35,2
2,5,1052,215,7388,1126,31,1
2,5,1116,231,7290,1168,26,1
2,5,1108,231,7319,1101,20,2
2,5,1129,212,7386,1074,28,3
2,5,1085,223,7384,1126,28,3
2,5,1104,233,7322,1147,27,2
2,5,1098,212,7338,1140,28,1
2,6,1135,251,7120,1314,20,2
2,6,1158,245,7065,1326,22,1
2,6,1133,241,7080,1342,21,3
2,6,1095,250,7120,1305,21,1
2,6,1201,238,6990,1383,25,3
2,6,1213,245,7007,1335,22,3
2,5,1108,231,7367,1110,29,3
2,5,1075,207,7413,1096,32,2
2,5,1059,228,7386,1128,25,2
2,5,1176,207,7347,1057,35,1
2,5,1159,213,7320,1108,38,1
2,5,1132,201,7398,1095,27,2
2,5,1107,220,7399,1096,29,1
2,5,1092,234,7355,1126,28,2
2,5,1119,219,7409,1057,33,2
2,5,1106,212,7381,1104,35,1
2,5,1047,238,7385,1120,28,1
2,5,1165,214,7331,1101,22,3
2,5,1158,201,7327,1123,29,2
2,5,1095,203,7415,1093,37,1
2,5,1176,205,7396,1107,33,2
2,5,1103,220,7335,1140,28,2
2,5,1112,209,7356,1125,32,2
2,5,1091,222,7377,1113,20,2
2,5,1080,219,7371,1125,33,1
2,5,1051,227,7403,1114,30,3
2,5,1096,211,7415,1091,30,2
2,5,1142,225,7341,1101,28,1
2,5,1047,236,7399,1107,32,3
2,5,1114,210,7359,1116,31,2
2,5,1140,241,7324,1098,23,1
2,5,1075,200,7410,1107,36,1
2,5,1092,219,7427,1125,33,1
2,5,1076,204,7408,1130,27,2
2,5,1178,201,7381,1099,34,2
2,5,1095,223,7367,1111,43,2
2,6,1166,272,6971,1390,20,3
2,6,1154,257,7130,1253,22,1
2,6,1177,241,6882,1470,22,2
2,6,1160,240,7043,1357,24,2
2,6,1122,241,7145,1313,15,1
2,6,1132,257,7065,1362,24,3
2,6,1096,260,7162,1282,25,2
2,6,1131,233,7144,1307,25,3
2,6,1184,258,7020,1340,26,2
2,6,1135,235,7123,1320,24,2
2,6,1084,240,7164,1330,28,1
2,6,1086,252,7159,1285,28,2
2,6,1140,258,7085,1347,23,3
2,6,1138,254,7103,1310,25,1
2,6,1159,261,7068,1297,27,2
2,5,1051,211,7421,1146,30,2
2,5,1048,213,7439,1130,28,2
2,5,1061,220,7421,1102,29,3
2,5,1105,210,7353,1142,28,1
2,5,1145,237,7208,1118,20,2
2,5,1049,219,7303,1168,22,2
2,5,1105,218,7302,1158,23,3
2,5,1030,214,7403,1177,21,1
2,5,1070,215,7280,1240,28,3
2,5,1103,208,7310,1177,30,3
2,5,1040,205,7368,1176,25,3
2,5,1100,210,7320,1113,22,3
2,5,1118,199,7415,1060,36,3
2,5,1065,230,7345,1163,24,1
2,5,1131,221,7358,1120,22,2
2,5,1080,218,7296,1145,35,2
2,5,1075,231,7403,1109,22,3
2,5,1040,228,7364,1173,25,2
2,5,1128,203,7320,1148,30,1
2,5,1060,231,7363,1149,20,1
2,5,1103,220,7365,1149,20,2
2,5,1110,201,7318,1185,24,2
2,5,1091,218,7383,1183,28,3
2,5,1094,220,7341,1127,26,2
2,6,1131,208,7170,1308,28,2
2,6,1175,214,7076,1307,33,2
2,6,1076,202,7243,1305,29,1
2,6,1120,240,7068,1383,23,1
2,6,1152,238,7080,1372,25,2
2,6,1141,250,7035,1388,22,2
2,6,1098,267,7135,1301,24,2
2,6,1126,236,7062,1380,26,1
2,6,1087,243,7200,1302,18,1
2,6,1115,236,7085,1372,20,2
2,6,1178,241,7006,1376,22,1
2,6,1162,242,7025,1368,25,2
3,9,1085,180,7955,605,20,1
3,9,1085,185,7955,600,25,1
3,9,1090,190,7950,600,28,2
3,9,1080,189,7960,602,35,1
3,9,1090,195,7955,600,28,2
3,9,1105,200,7900,600,37,2
3,9,1060,175,7975,610,20,2
3,9,1050,170,7977,605,28,1
3,9,1100,198,7905,600,35,3
3,9,1065,178,7965,605,22,2
3,9,1085,188,7955,602,30,2
3,9,1080,180,7960,605,25,1
3,9,1085,190,7955,602,30,1
3,9,1075,195,7960,602,20,3
3,9,1090,192,7950,600,35,3
3,9,1095,198,7945,600,38,2
3,9,1090,195,7950,600,30,2
3,9,1095,198,7950,602,35,1
3,9,1090,195,7940,600,35,2
3,9,1095,198,7945,600,35,1
3,9,1095,200,7940,600,35,3
3,9,1080,188,7965,608,28,3
3,9,1090,195,7950,600,32,2
3,9,1105,200,7900,595,39,1
3,9,1110,205,7900,595,40,1
3,9,1075,198,7978,608,28,2
3,9,1075,185,7980,608,35,3
3,9,1065,180,7975,610,25,3
3,9,1070,188,7980,602,22,2
3,9,1070,188,7980,602,22,1
3,9,1100,200,7910,610,39,1
3,9,1075,185,7960,610,22,2
3,9,1050,175,7990,610,18,3
3,9,1090,198,7945,600,32,2
3,9,1050,188,7990,608,28,3
3,9,1075,190,7975,605,28,3
3,9,1098,202,7945,595,42,2
3,9,1105,198,8005,575,52,2
3,9,1110,220,7915,510,55,2
3,9,1058,178,7988,626,40,3
3,9,1115,225,7955,600,55,2
3,9,1105,198,7995,570,52,3
3,9,1072,178,7980,615,48,2
3,9,1110,210,7990,570,50,2
3,9,1110,215,7910,525,50,1
3,9,1055,175,7985,620,45,1
3,9,1100,215,7930,535,45,2
3,9,1105,205,7965,600,25,2
3,9,1095,210,7948,600,25,2
3,9,1110,220,7950,600,52,2
3,9,1092,210,7955,600,40,3
3,7,1290,260,7550,670,70,2
3,7,1170,230,7690,720,40,1
3,7,1100,250,7680,760,30,2
3,7,1120,240,7720,730,40,2
3,7,1160,250,7650,750,30,1
3,7,1200,210,7770,690,20,3
3,7,1140,200,7990,580,10,1
3,7,1220,240,7610,760,30,2
3,7,1180,250,7520,800,50,2
3,7,1210,250,7560,780,40,2
3,7,1220,220,7540,770,60,2
3,7,1180,190,7520,820,50,1
3,7,1160,220,7580,790,40,1
3,7,1130,240,7620,780,30,1
3,7,1080,260,7710,750,20,2
3,7,1090,280,7730,720,50,1
3,7,1020,270,7770,710,40,1
3,7,1090,250,7680,760,60,1
3,7,1120,260,7720,680,30,2
3,7,1080,240,7830,670,30,2
3,7,1160,230,7860,640,10,1
3,7,1100,240,7820,670,20,2
3,7,1050,250,7930,630,10,3
3,7,1090,270,7780,690,30,3
3,7,1120,260,7750,680,30,3
3,7,1120,250,7680,730,40,2
3,7,1190,230,7670,710,30,2
3,7,1170,250,7620,740,20,1
3,7,1120,230,7720,730,20,1
3,7,1190,270,7690,720,10,2
3,7,1400,270,7420,800,0,2
3,7,1350,250,7520,760,10,1
3,7,1090,220,7890,670,10,2
3,7,1150,230,7790,650,30,1
3,7,1240,220,7820,590,10,1
3,7,1220,240,7890,530,0,2
3,7,1180,250,7870,580,10,2
3,7,1170,240,7730,630,30,1
3,7,1170,280,7710,640,20,3
3,7,1180,220,7790,680,10,1
3,7,1200,240,7820,590,10,2
3,7,1140,240,7880,570,20,3
3,7,1160,210,7870,580,30,3
3,7,1130,250,7780,650,40,3
3,7,1150,240,7800,630,30,2
3,7,1110,240,7820,670,20,3
3,7,1150,220,7850,620,20,2
3,7,1180,240,7760,670,20,2
3,7,1020,250,7920,680,10,3
3,7,610,230,8410,650,0,3
3,8,1190,290,7340,1020,0,2
3,8,1110,210,7550,1000,0,1
3,8,1020,220,7530,1030,0,3
3,8,1070,210,7600,990,0,3
3,8,1010,350,7480,1050,10,1
3,8,1060,240,7680,830,10,2
3,8,1060,270,7620,880,10,1
3,8,1030,230,7740,900,0,2
3,8,1120,250,7530,970,0,3
3,8,1030,220,7760,980,0,2
3,8,1070,230,7600,990,10,1
3,8,1140,220,7610,850,10,2
3,8,1090,230,7590,860,10,2
3,8,980,300,7720,910,10,3
3,8,980,330,7540,1040,0,2
3,8,960,200,7810,940,0,2
3,8,990,210,7780,930,0,2
3,8,1060,210,7600,1010,0,1
3,8,1240,250,7610,730,10,1
3,8,1060,310,7850,690,0,2
3,8,1020,290,7620,960,0,2
3,8,970,220,7700,1020,0,3
3,8,1180,220,7450,1010,0,2
3,8,1060,240,7690,850,10,1
3,8,990,250,7630,1030,0,3
3,8,1010,350,7630,940,10,3
3,8,1040,250,7780,820,10,1
3,8,1040,250,7810,810,10,2
3,8,1020,350,7620,920,10,3
3,8,1020,260,7620,1010,0,3
3,8,1010,350,7610,930,10,3
3,8,920,340,7720,910,0,3
3,8,1030,250,7710,900,0,2
3,8,960,300,7820,830,0,3
3,8,1030,210,7810,840,0,1
3,8,1010,240,7710,910,10,2
3,8,1020,240,7800,850,0,2
3,8,1120,300,7650,830,0,1
3,8,1090,290,7710,800,10,2
3,8,1100,280,7630,770,10,2
3,8,1090,240,7820,760,10,2
3,8,1150,250,7720,810,0,3
3,8,1110,230,7810,750,0,2
3,8,1010,210,7720,950,0,1
3,8,1070,220,7730,870,10,2
3,8,1280,290,7490,790,10,2
3,8,1060,270,7740,810,10,3
3,8,1010,210,7720,970,0,2
3,8,990,250,7750,870,10,2
3,8,960,240,7950,740,10,2
